movieId,tagId,relevance
1,1036,0.99925
1,244,0.9985
1,786,0.996
1,589,0.99075
1,64,0.98575
1,588,0.97925
1,785,0.96675
1,204,0.96425
1,186,0.9565
1,536,0.942
1,63,0.93325
1,203,0.92625
1,469,0.92075
1,310,0.91375
1,412,0.91175
1,971,0.9075
1,603,0.9
1,29,0.892
1,742,0.87925
1,414,0.87775
1,309,0.873
1,374,0.8485
1,1062,0.84225
1,445,0.8355
1,464,0.83525
1,415,0.823
1,193,0.81925
1,215,0.81925
1,717,0.817
1,278,0.8
1,220,0.78025
1,1114,0.77675
1,497,0.75875
1,743,0.758
1,748,0.754
1,1012,0.75225
1,972,0.75
1,1108,0.737
1,388,0.73425
1,452,0.73375
1,355,0.721
1,1072,0.7145
1,761,0.701
1,664,0.6955
1,417,0.695
1,529,0.689
1,62,0.68775
1,30,0.67625
1,867,0.671
1,19,0.6705
2,29,0.981
2,584,0.967
2,204,0.96425
2,588,0.9585
2,951,0.93475
2,377,0.934
2,62,0.9145
2,415,0.8705
2,203,0.87025
2,374,0.86925
2,604,0.84375
2,1074,0.8185
2,445,0.79
2,132,0.77675
2,414,0.7455
2,245,0.72775
2,355,0.7205
2,742,0.719
2,378,0.69775
2,662,0.68875
2,882,0.685
2,953,0.672
3,451,0.9745
3,901,0.9505
3,902,0.93325
3,230,0.84675
3,742,0.779
4,1116,0.97675
4,201,0.8665
4,439,0.82975
4,864,0.7965
4,1062,0.70225
5,451,0.96575
5,383,0.96025
5,902,0.93925
5,901,0.937
5,230,0.91375
5,808,0.91125
5,374,0.82275
5,1102,0.80675
5,768,0.78925
5,417,0.74175
5,388,0.73225
5,299,0.71375
5,742,0.70375
5,849,0.678
6,268,0.9805
6,498,0.966
6,481,0.963
6,105,0.95575
6,465,0.95575
6,536,0.9275
6,19,0.92475
6,241,0.9045
6,612,0.90425
6,841,0.89175
6,240,0.889
6,365,0.879
6,553,0.8595
6,1085,0.85775
6,302,0.844
6,468,0.8435
6,469,0.84025
6,1089,0.84025
6,482,0.83475
6,354,0.8285
6,452,0.82675
6,323,0.82225
6,1020,0.82225
6,424,0.8205
6,846,0.81925
6,611,0.81575
6,423,0.81275
6,634,0.78575
6,742,0.777
6,981,0.7735
6,646,0.76225
6,999,0.76225
6,741,0.75675
6,464,0.756
6,195,0.75275
6,972,0.7445
6,447,0.73225
6,840,0.72825
6,1084,0.72525
6,258,0.706
6,750,0.70325
6,382,0.703
6,1070,0.70075
6,463,0.6995
6,795,0.699
6,1025,0.6935
6,401,0.6895
6,787,0.68125
6,1101,0.679
6,504,0.67875
6,94,0.67775
7,849,0.97825
7,864,0.9705
7,865,0.9595
7,863,0.9195
7,769,0.9075
7,450,0.8495
7,299,0.845
7,201,0.836
7,109,0.8355
7,614,0.8335
7,742,0.80375
7,490,0.723
7,439,0.71525
7,846,0.67625
8,29,0.96325
8,107,0.9295
8,1062,0.86425
8,203,0.83875
8,412,0.7895
8,22,0.78525
8,323,0.70025
8,113,0.69125
8,776,0.68425
9,19,0.9745
9,447,0.971
9,609,0.9655
9,1075,0.95625
9,20,0.9375
9,389,0.90275
9,896,0.7895
9,369,0.7755
9,922,0.739
9,195,0.72525
10,1,0.99975
10,2,0.99975
10,151,0.99925
10,406,0.985
10,361,0.97925
10,896,0.96675
10,19,0.966
10,195,0.94425
10,961,0.925
10,955,0.91975
10,81,0.89325
10,573,0.858
10,960,0.8465
10,29,0.82725
10,447,0.821
10,897,0.78475
10,226,0.75925
10,904,0.75825
10,445,0.7385
10,1101,0.6905
11,811,0.9975
11,800,0.99325
11,798,0.9885
11,1119,0.9825
11,865,0.94525
11,614,0.93225
11,864,0.924
11,863,0.918
11,323,0.9105
11,922,0.9035
11,439,0.83825
11,388,0.829
11,201,0.8275
11,531,0.7915
11,445,0.77475
11,251,0.75125
11,387,0.72075
11,464,0.70625
11,277,0.6945
11,603,0.6895
11,896,0.68125
11,1003,0.6715
12,958,0.99675
12,770,0.989
12,230,0.889
12,455,0.8
12,920,0.7995
12,742,0.7125
12,1067,0.686
12,919,0.6835
12,893,0.67925
12,505,0.67075
13,1007,0.98625
13,64,0.97925
13,63,0.97725
13,316,0.97175
13,317,0.963
13,589,0.95275
13,186,0.9375
13,62,0.9115
13,244,0.865
13,310,0.81925
13,309,0.7575
13,40,0.7435
13,61,0.7385
14,811,0.9875
14,133,0.986
14,1119,0.97875
14,800,0.96675
14,135,0.95625
14,134,0.92325
14,798,0.91475
14,833,0.872
14,370,0.8655
14,258,0.843
14,251,0.82775
14,508,0.79
14,323,0.78625
14,240,0.75825
14,766,0.74825
14,472,0.74325
14,110,0.7375
14,1047,0.737
14,324,0.735
14,82,0.73325
14,742,0.73275
14,509,0.72925
14,1045,0.69775
14,1065,0.68075
14,252,0.676
15,1044,0.9995
15,784,0.99025
15,1001,0.9875
15,19,0.982
15,29,0.98075
15,1043,0.97775
15,1005,0.9645
15,132,0.9165
15,1006,0.909
15,447,0.87975
15,20,0.802
15,415,0.758
15,389,0.702
15,195,0.68225
16,741,0.9995
16,622,0.99825
16,658,0.99625
16,423,0.996
16,424,0.9945
16,187,0.9895
16,1085,0.9795
16,595,0.9785
16,1084,0.967
16,691,0.9645
16,981,0.954
16,758,0.945
16,472,0.942
16,536,0.931
16,465,0.92625
16,634,0.924
16,258,0.90675
16,469,0.89975
16,365,0.891
16,169,0.87525
16,269,0.86475
16,146,0.86075
16,268,0.859
16,240,0.846
16,742,0.82175
16,463,0.812
16,452,0.806
16,403,0.8005
16,382,0.795
16,128,0.79225
16,1089,0.78975
16,302,0.787
16,972,0.78275
16,806,0.77775
16,464,0.7745
16,94,0.76625
16,646,0.76425
16,553,0.75275
16,982,0.7345
16,554,0.726
16,168,0.7205
16,107,0.72025
16,750,0.71775
16,504,0.7065
16,512,0.69775
16,1051,0.697
16,467,0.69575
16,468,0.68725
16,288,0.68025
16,323,0.6795
16,445,0.675
16,730,0.67425
16,255,0.6725
16,247,0.67225
17,3,0.98
17,22,0.973
17,259,0.9675
17,774,0.96625
17,864,0.9525
17,574,0.9345
17,10,0.92625
17,606,0.91825
17,350,0.87825
17,107,0.87725
17,164,0.86725
17,121,0.85675
17,21,0.8415
17,863,0.83425
17,771,0.83375
17,923,0.81975
17,122,0.81475
17,201,0.8035
17,608,0.78975
17,747,0.77975
17,113,0.77475
17,364,0.765
17,30,0.76
17,497,0.75
17,215,0.7175
17,614,0.692
17,1114,0.68
17,613,0.67525
18,735,0.92675
18,972,0.912
18,526,0.89475
18,1009,0.8125
18,981,0.804
18,1104,0.77825
18,679,0.76475
18,742,0.7585
18,468,0.75125
18,302,0.70275
18,1051,0.70125
18,289,0.67375
19,455,0.99425
19,920,0.9935
19,230,0.98875
19,332,0.9855
19,300,0.97525
19,979,0.9655
19,505,0.95875
19,451,0.94875
19,418,0.94525
19,1071,0.9415
19,902,0.93025
19,416,0.929
19,980,0.9255
19,901,0.916
19,417,0.9015
19,34,0.87825
19,476,0.87475
19,333,0.85725
19,272,0.85625
19,978,0.84
19,919,0.82575
19,742,0.80375
19,770,0.79475
19,584,0.78825
19,926,0.773
19,958,0.73975
20,447,0.9475
20,19,0.944
20,20,0.84625
20,382,0.71325
20,389,0.7115
20,132,0.7035
20,730,0.69575
20,195,0.69375
20,1070,0.67625
21,658,0.9545
21,469,0.90225
21,424,0.8875
21,423,0.85975
21,255,0.854
21,622,0.835
21,464,0.83125
21,742,0.814
21,107,0.8095
21,268,0.801
21,181,0.79975
21,289,0.79575
21,514,0.77725
21,877,0.77525
21,1051,0.77175
21,467,0.7715
21,302,0.7685
21,415,0.7545
21,220,0.752
21,612,0.7215
21,1085,0.70575
21,876,0.7015
21,472,0.70075
21,67,0.7
21,878,0.699
21,1114,0.69725
21,275,0.68775
21,981,0.68275
21,22,0.682
21,465,0.68
22,903,0.99825
22,1000,0.981
22,300,0.97825
22,999,0.93675
22,797,0.903
22,683,0.90025
22,1020,0.88675
22,1051,0.86975
22,558,0.8615
22,682,0.8545
22,1025,0.8255
22,823,0.81125
22,874,0.80625
22,1049,0.76425
22,445,0.74625
22,555,0.734
