title,genres,item
Jumanji (1995),Adventure|Children|Fantasy,1
Grumpier Old Men (1995),Comedy|Romance,2
Sabrina (1995),Comedy|Romance,6
"American President, The (1995)",Comedy|Drama|Romance,10
Sense and Sensibility (1995),Drama|Romance,16
Money Train (1995),Action|Comedy|Crime|Drama|Thriller,19
Othello (1995),Drama,25
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,31
Wings of Courage (1995),Adventure|Romance|IMAX,32
Carrington (1995),Drama|Romance,34
Across the Sea of Time (1995),Documentary|IMAX,36
"Cry, the Beloved Country (1995)",Drama,39
To Die For (1995),Comedy|Drama|Thriller,44
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,47
Guardian Angel (1994),Action|Drama|Thriller,50
Fair Game (1995),Action,70
"Hate (Haine, La) (1995)",Crime|Drama,95
Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,104
Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,110
Before and After (1996),Drama|Mystery,111
Margaret's Museum (1995),Drama,112
"Basketball Diaries, The (1995)",Drama,145
"Addiction, The (1995)",Drama|Horror,150
Congo (1995),Action|Adventure|Mystery|Sci-Fi,158
Desperado (1995),Action|Romance|Western,161
Die Hard: With a Vengeance (1995),Action|Crime|Thriller,163
Feast of July (1995),Drama,165
Jury Duty (1995),Comedy,172
Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,196
Wild Bill (1995),Western,208
Exit to Eden (1994),Comedy,231
Junior (1994),Comedy|Sci-Fi,253
Kiss of Death (1995),Crime|Drama|Thriller,256
Ladybird Ladybird (1994),Drama,260
Milk Money (1994),Comedy|Romance,273
Beyond Bedlam (1993),Drama|Horror,282
Poison Ivy II (1996),Drama|Thriller,288
"Pyromaniac's Love Story, A (1995)",Comedy|Romance,292
Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,293
Priest (1994),Drama,296
"Shawshank Redemption, The (1994)",Crime|Drama,315
Shallow Grave (1994),Comedy|Drama|Thriller,316
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,318
What's Eating Gilbert Grape (1993),Drama,333
Bullets Over Broadway (1994),Comedy,344
Four Weddings and a Funeral (1994),Comedy|Romance,353
I Like It Like That (1994),Comedy|Drama|Romance,355
I Love Trouble (1994),Action|Comedy,356
"Paper, The (1994)",Comedy|Drama,367
Richie Rich (1994),Children|Comedy,370
When a Man Loves a Woman (1994),Drama|Romance,377
Bad Company (1995),Action|Crime|Drama,380
Blue Chips (1994),Drama,420
Coneheads (1993),Comedy|Sci-Fi,431
Color of Night (1994),Drama|Thriller,432
"Cowboy Way, The (1994)",Action|Comedy|Drama,434
Even Cowgirls Get the Blues (1993),Comedy|Romance,440
Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,442
Go Fish (1994),Drama|Romance,457
House Party 3 (1994),Comedy,466
What's Love Got to Do with It? (1993),Drama|Musical,473
Lassie (1994),Adventure|Children,480
Made in America (1993),Comedy,485
No Escape (1994),Action|Drama|Sci-Fi,500
Rudy (1993),Drama,520
So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,539
Harem (1985),Drama,541
"War Room, The (1993)",Documentary,552
"Beans of Egypt, Maine, The (1994)",Drama,555
Batman (1989),Action|Crime|Thriller,586
"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,587
Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,589
Pinocchio (1940),Animation|Children|Fantasy|Musical,590
Window to Paris (Okno v Parizh) (1994),Comedy|Fantasy,592
"Wild Bunch, The (1969)",Adventure|Western,593
"Bye Bye, Love (1995)",Comedy,597
"Family Thing, A (1996)",Comedy|Drama,628
Eddie (1996),Comedy,648
James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical,653
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",Documentary,673
Force of Evil (1948),Film-Noir,733
"Man from Down Under, The (1943)",Drama,736
Spirits of the Dead (1968),Horror|Mystery,762
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Documentary,778
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),Drama,780
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",Comedy,784
Daylight (1996),Action|Adventure|Drama|Thriller,785
"Frighteners, The (1996)",Comedy|Horror|Thriller,786
Harriet the Spy (1996),Children|Comedy,788
Two Deaths (1995),Drama,802
"Big Squeeze, The (1996)",Comedy|Drama,832
Small Faces (1996),Drama,849
Death in Brunswick (1991),Comedy,852
Killer: A Journal of Murder (1995),Crime|Drama,858
Golden Earrings (1947),Adventure|Romance|War,908
Spellbound (1945),Mystery|Romance|Thriller,914
"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,923
"Mark of Zorro, The (1940)",Adventure,924
Jude (1996),Drama,1036
"Damsel in Distress, A (1937)",Comedy|Musical|Romance,1047
Victor/Victoria (1982),Comedy|Musical|Romance,1059
American Strays (1996),Action,1080
"Leopard Son, The (1996)",Documentary,1084
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,1088
Palookaville (1996),Action|Comedy|Drama,1089
"Associate, The (1996)",Comedy,1090
Sleepover (1995),Drama,1092
"People vs. Larry Flynt, The (1996)",Comedy|Drama,1097
On Golden Pond (1981),Drama,1101
He Walked by Night (1948),Crime|Film-Noir|Thriller,1129
Love in Bloom (1935),Romance,1136
Psycho (1960),Crime|Horror,1193
Full Metal Jacket (1987),Drama|War,1196
Henry V (1989),Action|Drama|Romance|War,1198
Amadeus (1984),Drama,1199
"Quiet Man, The (1952)",Drama|Romance,1200
"Right Stuff, The (1983)",Drama,1204
Harold and Maude (1971),Comedy|Drama|Romance,1208
Trust (1990),Comedy|Drama|Romance,1209
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,1210
Dead Alive (Braindead) (1992),Comedy|Fantasy|Horror,1213
Glory (1989),Drama|War,1214
